,total,with hd,without hd,true positives,false positives,true negatives,false negatives,accuracy,precision,recall,f1
0,167805,11234,156571,387,401,156170,10847,0.9329698161556569,0.49111675126903553,0.03444899412497775,0.03219098319747131
1,151990,16139,135851,385,219,135632,15754,0.8949075597078755,0.6374172185430463,0.023855257450895347,0.02299468434569671
