,num_layers,units,dropout,dense_nodes,activation_function,learning_rate,best_val_acc,best_val_acc_sem,best_val_acc_train_acc,best_val_acc_train_acc_sem,best_val_acc_loss,best_val_acc_loss_sem,best_val_acc_train_loss,best_val_acc_train_loss_sem,history
5,2,90,0.3,32,relu,0.001,0.9338618516921997,0.0,0.9332872033119202,0.0,0.19625936448574066,0.0,0.1955101639032364,0.0,"{'loss': [0.28208500146865845, 0.21282958984375, 0.20798200368881226, 0.20466889441013336, 0.20310522615909576, 0.20133543014526367, 0.20053492486476898, 0.20007507503032684, 0.19932670891284943, 0.19949102401733398, 0.19795113801956177, 0.19859538972377777, 0.19839155673980713, 0.1982189416885376, 0.19781148433685303, 0.1981179565191269, 0.19785232841968536, 0.19831833243370056, 0.1980651170015335, 0.19786451756954193, 0.19712163507938385, 0.19719745218753815, 0.19720672070980072, 0.19720764458179474, 0.19684737920761108, 0.19712789356708527, 0.1975053995847702, 0.19651734828948975, 0.19707956910133362, 0.19650253653526306], 'accuracy': [0.9248297214508057, 0.932465136051178, 0.932664692401886, 0.9329174160957336, 0.9328508973121643, 0.9330504536628723, 0.9331967830657959, 0.9326912760734558, 0.9331568479537964, 0.9327045679092407, 0.9331302642822266, 0.932784378528595, 0.9332633018493652, 0.932983934879303, 0.9329972267150879, 0.9329041242599487, 0.9330238103866577, 0.9331568479537964, 0.9330371618270874, 0.9330504536628723, 0.9332633018493652, 0.9331302642822266, 0.933183491230011, 0.9329706430435181, 0.9333164691925049, 0.9330770373344421, 0.9331967830657959, 0.9332100749015808, 0.9329174160957336, 0.9328908324241638], 'val_loss': [0.20738369226455688, 0.20324021577835083, 0.20292480289936066, 0.19938717782497406, 0.19753678143024445, 0.20093750953674316, 0.19837552309036255, 0.20000746846199036, 0.19625936448574066, 0.1968061625957489, 0.1965721845626831, 0.1979316771030426, 0.1961645781993866, 0.19651292264461517, 0.1966858059167862, 0.19693595170974731, 0.19877618551254272, 0.19691802561283112, 0.19669687747955322, 0.1974780112504959, 0.1970098316669464, 0.19718602299690247, 0.19764576852321625, 0.1989411860704422, 0.1962118297815323, 0.19681416451931, 0.19617827236652374, 0.1963328719139099, 0.1960195153951645, 0.19614334404468536], 'val_accuracy': [0.9327445030212402, 0.9327445030212402, 0.9327445030212402, 0.9327445030212402, 0.9327977299690247, 0.9336490631103516, 0.9334893822669983, 0.9330105185508728, 0.9338618516921997, 0.9331169724464417, 0.9327445030212402, 0.9331169724464417, 0.9332233667373657, 0.9333829879760742, 0.9334362149238586, 0.9327977299690247, 0.9329573512077332, 0.9331169724464417, 0.9332765936851501, 0.9329573512077332, 0.9330637454986572, 0.9327977299690247, 0.9327977299690247, 0.9327977299690247, 0.9330637454986572, 0.9330105185508728, 0.9332233667373657, 0.9333297610282898, 0.9330105185508728, 0.9330105185508728]}"
76,2,100,0.2,64,relu,0.001,0.9337554574012756,2.3803814696160698e-05,0.9335692226886749,3.093429670200951e-05,0.19517536461353302,0.00033625220658983106,0.19427531212568283,2.077502584414361e-05,"{'loss': [0.25271251797676086, 0.2095022201538086, 0.2055073231458664, 0.204388827085495, 0.20183105766773224, 0.20213572680950165, 0.19990140199661255, 0.19985331594944, 0.19948597252368927, 0.19881540536880493, 0.1987580507993698, 0.19809898734092712, 0.1980702430009842, 0.19750887155532837, 0.19734561443328857, 0.1968984752893448, 0.1970588117837906, 0.19699423015117645, 0.1969388723373413, 0.19698810577392578, 0.19665075838565826, 0.1967955231666565, 0.19667840003967285, 0.19617711007595062, 0.19678005576133728, 0.1964016556739807, 0.19648365676403046, 0.19658532738685608, 0.1967061460018158, 0.19606277346611023], 'accuracy': [0.9269314408302307, 0.9323188066482544, 0.9327977299690247, 0.9327312111854553, 0.9329706430435181, 0.9326779842376709, 0.9330504536628723, 0.9331701397895813, 0.932784378528595, 0.9328110218048096, 0.9329307079315186, 0.9328243136405945, 0.9330238103866577, 0.9330637454986572, 0.9332233667373657, 0.9330637454986572, 0.9332898855209351, 0.9329174160957336, 0.9332765936851501, 0.9328376054763794, 0.9333297610282898, 0.9333297610282898, 0.9330504536628723, 0.933183491230011, 0.9330770373344421, 0.9331302642822266, 0.9334229230880737, 0.9332100749015808, 0.9331701397895813, 0.9333297610282898], 'val_loss': [0.20333682000637054, 0.20594845712184906, 0.1982540488243103, 0.1964763104915619, 0.19569873809814453, 0.1944248527288437, 0.19612358510494232, 0.1947348266839981, 0.19555211067199707, 0.19560521841049194, 0.1958051174879074, 0.1942244917154312, 0.19445937871932983, 0.19331161677837372, 0.19403398036956787, 0.19461148977279663, 0.19461406767368317, 0.19428500533103943, 0.19512531161308289, 0.19499057531356812, 0.19419126212596893, 0.1948043704032898, 0.19529451429843903, 0.19546031951904297, 0.1944553405046463, 0.19442348182201385, 0.19458676874637604, 0.19406206905841827, 0.19515454769134521, 0.1954553872346878], 'val_accuracy': [0.9327445030212402, 0.9325848817825317, 0.9327445030212402, 0.9327445030212402, 0.9326912760734558, 0.9327445030212402, 0.9334362149238586, 0.9332765936851501, 0.9328508973121643, 0.9327977299690247, 0.9331169724464417, 0.9331701397895813, 0.9330105185508728, 0.9335426092147827, 0.9332233667373657, 0.9332765936851501, 0.9332765936851501, 0.9332765936851501, 0.9331701397895813, 0.9331701397895813, 0.9334893822669983, 0.9332765936851501, 0.9328508973121643, 0.9329041242599487, 0.9332233667373657, 0.9338086843490601, 0.9334362149238586, 0.9331169724464417, 0.9330105185508728, 0.9330637454986572]}"
6,2,90,0.3,32,relu,0.001,0.9337554574012756,4.75809733848229e-05,0.9333404302597046,2.3803814696160698e-05,0.19563931971788406,0.00027729245000408586,0.19561928510665894,4.8800485727879285e-05,"{'loss': [0.3337407410144806, 0.21878252923488617, 0.2108810842037201, 0.20722317695617676, 0.20514188706874847, 0.20483462512493134, 0.2026054710149765, 0.20194660127162933, 0.20096047222614288, 0.20087997615337372, 0.20000196993350983, 0.1996045559644699, 0.19924145936965942, 0.19884651899337769, 0.19924764335155487, 0.1988060623407364, 0.1991424560546875, 0.19833585619926453, 0.19804225862026215, 0.19831711053848267, 0.19755375385284424, 0.1983940750360489, 0.19777587056159973, 0.19810625910758972, 0.19806469976902008, 0.19769643247127533, 0.1974257528781891, 0.197566419839859, 0.19757676124572754, 0.19789862632751465], 'accuracy': [0.9201473593711853, 0.9325183629989624, 0.9326779842376709, 0.9325848817825317, 0.9327577948570251, 0.9329439997673035, 0.9326380491256714, 0.9327577948570251, 0.9327445030212402, 0.9325981736183167, 0.933183491230011, 0.9325183629989624, 0.9329307079315186, 0.9330238103866577, 0.9331568479537964, 0.933103621006012, 0.9328110218048096, 0.9327977299690247, 0.9329041242599487, 0.9330770373344421, 0.9331169724464417, 0.932784378528595, 0.9328775405883789, 0.9332100749015808, 0.9327977299690247, 0.932983934879303, 0.9335958361625671, 0.9328641891479492, 0.9329706430435181, 0.9331435561180115], 'val_loss': [0.2084234207868576, 0.2016487568616867, 0.1983390897512436, 0.19615162909030914, 0.1950799971818924, 0.1960809826850891, 0.1945405900478363, 0.19519442319869995, 0.19473139941692352, 0.19353576004505157, 0.19387705624103546, 0.19352006912231445, 0.19434350728988647, 0.1947682499885559, 0.19501927495002747, 0.19402123987674713, 0.19372178614139557, 0.19318529963493347, 0.19338767230510712, 0.1950601041316986, 0.1932678073644638, 0.19410434365272522, 0.19468404352664948, 0.1942308098077774, 0.19395482540130615, 0.19397878646850586, 0.19391612708568573, 0.19650350511074066, 0.1957106590270996, 0.19524933397769928], 'val_accuracy': [0.9327445030212402, 0.9327445030212402, 0.9327445030212402, 0.9327445030212402, 0.9326912760734558, 0.9327977299690247, 0.9329573512077332, 0.9327445030212402, 0.9333297610282898, 0.9335958361625671, 0.9332233667373657, 0.9333829879760742, 0.9329573512077332, 0.9330637454986572, 0.9336490631103516, 0.9332233667373657, 0.9331701397895813, 0.9335426092147827, 0.9333829879760742, 0.9332233667373657, 0.9332765936851501, 0.9331169724464417, 0.9325316548347473, 0.9329573512077332, 0.9329041242599487, 0.9330637454986572, 0.9331169724464417, 0.9327445030212402, 0.9329573512077332, 0.9328508973121643]}"
79,2,100,0.2,64,relu,0.001,0.9337448120117188,4.853476362811199e-05,0.9334979176521301,6.266281951127358e-05,0.19629037380218506,0.0006201726314976548,0.19491036236286163,0.00035707025615129177,"{'loss': [0.3262438178062439, 0.21311596035957336, 0.2075948715209961, 0.20452921092510223, 0.2028590738773346, 0.2015559822320938, 0.201048344373703, 0.19999775290489197, 0.19923773407936096, 0.1993536800146103, 0.198414146900177, 0.19839483499526978, 0.1982271373271942, 0.19733838737010956, 0.19752563536167145, 0.19747836887836456, 0.19700780510902405, 0.19704630970954895, 0.1973254531621933, 0.19698551297187805, 0.19660691916942596, 0.19665108621120453, 0.19637760519981384, 0.19646328687667847, 0.19615687429904938, 0.1964671015739441, 0.19573558866977692, 0.1960267871618271, 0.19548331201076508, 0.19600138068199158], 'accuracy': [0.9157443642616272, 0.9322656393051147, 0.932784378528595, 0.9328376054763794, 0.9328908324241638, 0.932664692401886, 0.9328775405883789, 0.9329307079315186, 0.9329307079315186, 0.9327045679092407, 0.9329706430435181, 0.9330371618270874, 0.9330504536628723, 0.9329573512077332, 0.9331967830657959, 0.9329573512077332, 0.9328376054763794, 0.9329439997673035, 0.9331435561180115, 0.9325316548347473, 0.9334362149238586, 0.9332366585731506, 0.933090329170227, 0.9330770373344421, 0.9329573512077332, 0.9333564043045044, 0.9330371618270874, 0.9330770373344421, 0.93330317735672, 0.933103621006012], 'val_loss': [0.2059764713048935, 0.20152676105499268, 0.2011885941028595, 0.20198334753513336, 0.2005319893360138, 0.19873473048210144, 0.20419304072856903, 0.19762486219406128, 0.2001572549343109, 0.19735226035118103, 0.19735610485076904, 0.19722315669059753, 0.19699354469776154, 0.19800955057144165, 0.19840440154075623, 0.1991911232471466, 0.19704055786132812, 0.19744133949279785, 0.19689030945301056, 0.19667954742908478, 0.1984589397907257, 0.19667598605155945, 0.19700992107391357, 0.19645971059799194, 0.19626136124134064, 0.19734054803848267, 0.19730183482170105, 0.19669435918331146, 0.1959766000509262, 0.19595709443092346], 'val_accuracy': [0.9326912760734558, 0.9326912760734558, 0.9330105185508728, 0.9327445030212402, 0.9327977299690247, 0.9328508973121643, 0.9331701397895813, 0.9328508973121643, 0.9330105185508728, 0.9333297610282898, 0.9339150786399841, 0.9332233667373657, 0.9337554574012756, 0.9329573512077332, 0.9329041242599487, 0.9330105185508728, 0.9329573512077332, 0.9334893822669983, 0.9331169724464417, 0.9329573512077332, 0.9327977299690247, 0.9327977299690247, 0.9327445030212402, 0.9335958361625671, 0.9330105185508728, 0.9327445030212402, 0.9329041242599487, 0.9331169724464417, 0.9332233667373657, 0.9332765936851501]}"
67,2,100,0.2,32,relu,0.001,0.9337377349535624,7.355758742760786e-05,0.9334326585133871,4.996162790525079e-05,0.1973328193028768,0.0006748133198431778,0.19764399528503418,0.0011644829911962554,"{'loss': [0.26723673939704895, 0.2101161777973175, 0.20606565475463867, 0.20289947092533112, 0.20242759585380554, 0.20106126368045807, 0.20054848492145538, 0.19943711161613464, 0.19921882450580597, 0.1989545375108719, 0.19855394959449768, 0.1984303593635559, 0.19794949889183044, 0.19784411787986755, 0.19796432554721832, 0.19774699211120605, 0.1970546841621399, 0.1972513347864151, 0.19719724357128143, 0.19743609428405762, 0.19710108637809753, 0.19700407981872559, 0.19637978076934814, 0.1968134194612503, 0.19655586779117584, 0.19635404646396637, 0.19661571085453033, 0.19664882123470306, 0.19605125486850739, 0.19645315408706665], 'accuracy': [0.9236724376678467, 0.9325582385063171, 0.9326114654541016, 0.9328641891479492, 0.9327977299690247, 0.9330637454986572, 0.9327445030212402, 0.9331701397895813, 0.9326912760734558, 0.9329573512077332, 0.9327178597450256, 0.9330105185508728, 0.9330637454986572, 0.9329972267150879, 0.93330317735672, 0.9331701397895813, 0.9332499504089355, 0.9333431124687195, 0.9330770373344421, 0.9331302642822266, 0.9330105185508728, 0.93330317735672, 0.9331701397895813, 0.933103621006012, 0.9332898855209351, 0.9333696961402893, 0.9330105185508728, 0.9332898855209351, 0.9334362149238586, 0.9331967830657959], 'val_loss': [0.21168434619903564, 0.19968190789222717, 0.19876179099082947, 0.20129446685314178, 0.19686655700206757, 0.19715186953544617, 0.19740638136863708, 0.1968660056591034, 0.1958436518907547, 0.19565504789352417, 0.19544197618961334, 0.19475768506526947, 0.19456645846366882, 0.19594494998455048, 0.19492582976818085, 0.1940993070602417, 0.195438951253891, 0.1957281082868576, 0.1960110068321228, 0.19762234389781952, 0.1947806477546692, 0.19498088955879211, 0.19559665024280548, 0.1953454613685608, 0.19466206431388855, 0.1940000355243683, 0.1954362690448761, 0.19462347030639648, 0.19547170400619507, 0.19518344104290009], 'val_accuracy': [0.9327977299690247, 0.9327445030212402, 0.9330105185508728, 0.9332765936851501, 0.9332233667373657, 0.9329041242599487, 0.9327977299690247, 0.9332765936851501, 0.9339683055877686, 0.9331169724464417, 0.9334362149238586, 0.9332233667373657, 0.9331701397895813, 0.9332233667373657, 0.9334362149238586, 0.9334362149238586, 0.9330637454986572, 0.9332233667373657, 0.9333829879760742, 0.9331169724464417, 0.9331701397895813, 0.9330637454986572, 0.9332765936851501, 0.9335958361625671, 0.9333297610282898, 0.9336490631103516, 0.9330105185508728, 0.9337022304534912, 0.9333297610282898, 0.9333297610282898]}"
146,3,100,0.2,32,relu,0.001,0.9337288737297058,3.56923940404918e-05,0.9334096014499664,2.141810202504493e-05,0.19649366289377213,0.0009192557425923414,0.19675057381391525,0.00030847331477545654,"{'loss': [0.2830028533935547, 0.21485622227191925, 0.20840856432914734, 0.2052147388458252, 0.20347657799720764, 0.202254980802536, 0.20109231770038605, 0.20030152797698975, 0.20003275573253632, 0.199726402759552, 0.19902868568897247, 0.1984718143939972, 0.19859294593334198, 0.19838182628154755, 0.19815891981124878, 0.19822369515895844, 0.19786185026168823, 0.19800053536891937, 0.19824309647083282, 0.19782191514968872, 0.19766145944595337, 0.19775426387786865, 0.19759295880794525, 0.19759824872016907, 0.1973980963230133, 0.1972033679485321, 0.19731763005256653, 0.19706739485263824, 0.197292298078537, 0.1970672607421875], 'accuracy': [0.9243641495704651, 0.9325183629989624, 0.9327178597450256, 0.9325981736183167, 0.9327045679092407, 0.9327977299690247, 0.9328110218048096, 0.9326912760734558, 0.9329573512077332, 0.932983934879303, 0.9329706430435181, 0.9330371618270874, 0.933103621006012, 0.9327178597450256, 0.9329307079315186, 0.9331701397895813, 0.9332366585731506, 0.9330105185508728, 0.9328641891479492, 0.9329041242599487, 0.9329041242599487, 0.9332233667373657, 0.9331568479537964, 0.9329041242599487, 0.933090329170227, 0.9330105185508728, 0.9330105185508728, 0.933183491230011, 0.9329174160957336, 0.9328376054763794], 'val_loss': [0.21817216277122498, 0.2029048204421997, 0.20167601108551025, 0.19577589631080627, 0.19622910022735596, 0.1952759176492691, 0.19552940130233765, 0.19497714936733246, 0.19509686529636383, 0.19506393373012543, 0.19697248935699463, 0.19377683103084564, 0.1944381445646286, 0.19526280462741852, 0.19491557776927948, 0.1950979381799698, 0.19387738406658173, 0.19549115002155304, 0.19759035110473633, 0.19501444697380066, 0.19474758207798004, 0.19531087577342987, 0.19636371731758118, 0.19555936753749847, 0.19425490498542786, 0.19739793241024017, 0.19401361048221588, 0.19480103254318237, 0.19736362993717194, 0.19485880434513092], 'val_accuracy': [0.9327445030212402, 0.9328508973121643, 0.9334362149238586, 0.9329573512077332, 0.9331701397895813, 0.9336490631103516, 0.9334362149238586, 0.9327445030212402, 0.9327977299690247, 0.9332233667373657, 0.9331169724464417, 0.9333829879760742, 0.9338086843490601, 0.9330637454986572, 0.9331701397895813, 0.9332233667373657, 0.9335958361625671, 0.9330637454986572, 0.9335958361625671, 0.9331701397895813, 0.9331701397895813, 0.9327445030212402, 0.9326912760734558, 0.9331169724464417, 0.9331701397895813, 0.9327445030212402, 0.9330637454986572, 0.9329573512077332, 0.9332765936851501, 0.9330105185508728]}"
149,3,100,0.2,32,relu,0.001,0.933723533153534,4.413110381616647e-05,0.9334404587745666,2.3041113665784042e-05,0.19676960706710817,0.0008595044961303599,0.19599526524543762,0.0003616398316611289,"{'loss': [0.2861206829547882, 0.21264448761940002, 0.20568224787712097, 0.20307350158691406, 0.20170074701309204, 0.20152287185192108, 0.19983546435832977, 0.199692964553833, 0.1996030956506729, 0.19927257299423218, 0.19826142489910126, 0.1983596235513687, 0.19802969694137573, 0.19797784090042114, 0.19741134345531464, 0.19768069684505463, 0.19719092547893524, 0.19744473695755005, 0.19725382328033447, 0.19688960909843445, 0.19719628989696503, 0.19651378691196442, 0.1961892545223236, 0.19663144648075104, 0.19658143818378448, 0.19620737433433533, 0.19667480885982513, 0.19594568014144897, 0.19634975492954254, 0.19617865979671478], 'accuracy': [0.9217303395271301, 0.9325848817825317, 0.932664692401886, 0.9326247572898865, 0.9325449466705322, 0.9325050711631775, 0.9327445030212402, 0.932983934879303, 0.9327977299690247, 0.932983934879303, 0.9330770373344421, 0.9328908324241638, 0.9328243136405945, 0.9330105185508728, 0.9333431124687195, 0.9327312111854553, 0.9330504536628723, 0.9329307079315186, 0.9328243136405945, 0.9330637454986572, 0.9330770373344421, 0.9333297610282898, 0.933103621006012, 0.9330238103866577, 0.9331701397895813, 0.9332100749015808, 0.9330504536628723, 0.9332366585731506, 0.9328641891479492, 0.9330504536628723], 'val_loss': [0.20825468003749847, 0.20480860769748688, 0.2011539340019226, 0.20527394115924835, 0.1979096680879593, 0.19765710830688477, 0.19700556993484497, 0.20046639442443848, 0.19709733128547668, 0.19661612808704376, 0.19751153886318207, 0.1966107040643692, 0.19723793864250183, 0.19831597805023193, 0.19719834625720978, 0.2014305591583252, 0.19795472919940948, 0.1965065598487854, 0.1977657973766327, 0.19677536189556122, 0.19671349227428436, 0.1984463781118393, 0.19690005481243134, 0.1961883157491684, 0.19681264460086823, 0.19824591279029846, 0.19879114627838135, 0.19716604053974152, 0.19664965569972992, 0.19688203930854797], 'val_accuracy': [0.9326912760734558, 0.9326912760734558, 0.9326912760734558, 0.9329041242599487, 0.9327445030212402, 0.9328508973121643, 0.9330105185508728, 0.9327445030212402, 0.9326912760734558, 0.9330637454986572, 0.9327445030212402, 0.9333829879760742, 0.9327977299690247, 0.9333829879760742, 0.9330105185508728, 0.9335426092147827, 0.9331169724464417, 0.9338618516921997, 0.9330105185508728, 0.9330105185508728, 0.9329573512077332, 0.9331169724464417, 0.9327977299690247, 0.9328508973121643, 0.9327445030212402, 0.9329573512077332, 0.9327977299690247, 0.9327445030212402, 0.9331701397895813, 0.9330105185508728]}"
147,3,100,0.2,32,relu,0.001,0.9337199926376343,2.9679075346912505e-05,0.9334149161974589,1.7807919940305178e-05,0.19599632918834686,0.0008138122670576264,0.19644313057263693,0.00031819134064604723,"{'loss': [0.2781863808631897, 0.21289071440696716, 0.2069658488035202, 0.20468968152999878, 0.20208990573883057, 0.20193909108638763, 0.20072875916957855, 0.19976580142974854, 0.19918181002140045, 0.2000686079263687, 0.19864888489246368, 0.19867366552352905, 0.19864492118358612, 0.19845722615718842, 0.19795788824558258, 0.19786173105239868, 0.1981055736541748, 0.19741535186767578, 0.19804082810878754, 0.19786258041858673, 0.19761937856674194, 0.19795618951320648, 0.19702504575252533, 0.19742314517498016, 0.1971665918827057, 0.1971258670091629, 0.1970917135477066, 0.19723911583423615, 0.1972566545009613, 0.19668608903884888], 'accuracy': [0.9223688244819641, 0.9326912760734558, 0.9326380491256714, 0.9327445030212402, 0.9327977299690247, 0.9326779842376709, 0.9326779842376709, 0.9328110218048096, 0.9328376054763794, 0.9327977299690247, 0.9329972267150879, 0.932983934879303, 0.9328508973121643, 0.9330770373344421, 0.9331302642822266, 0.9329573512077332, 0.9335825443267822, 0.9328376054763794, 0.9331701397895813, 0.9329972267150879, 0.9327045679092407, 0.9328908324241638, 0.9328243136405945, 0.9330637454986572, 0.9333564043045044, 0.9330504536628723, 0.932784378528595, 0.9330637454986572, 0.9327045679092407, 0.9328508973121643], 'val_loss': [0.2034788280725479, 0.2048611342906952, 0.2026343047618866, 0.19659219682216644, 0.1961164027452469, 0.19922691583633423, 0.19848421216011047, 0.19781312346458435, 0.19457179307937622, 0.19500166177749634, 0.1949964314699173, 0.194990873336792, 0.19481603801250458, 0.19598577916622162, 0.19633392989635468, 0.1960161328315735, 0.1958543211221695, 0.1951335370540619, 0.19441044330596924, 0.19477088749408722, 0.19729505479335785, 0.19498030841350555, 0.19500388205051422, 0.1963140368461609, 0.19500070810317993, 0.19620168209075928, 0.19595740735530853, 0.19928385317325592, 0.19634851813316345, 0.19690828025341034], 'val_accuracy': [0.9327445030212402, 0.9327445030212402, 0.9327445030212402, 0.9331169724464417, 0.9330637454986572, 0.9331701397895813, 0.9330637454986572, 0.9333297610282898, 0.9332765936851501, 0.9337022304534912, 0.9332233667373657, 0.9332233667373657, 0.9333297610282898, 0.9332233667373657, 0.9331701397895813, 0.9334893822669983, 0.9332765936851501, 0.9332765936851501, 0.9332765936851501, 0.9335426092147827, 0.9335426092147827, 0.9333297610282898, 0.9332233667373657, 0.9331169724464417, 0.9333829879760742, 0.9333829879760742, 0.9327445030212402, 0.9327445030212402, 0.9334362149238586, 0.9327977299690247]}"
68,2,100,0.2,32,relu,0.001,0.9337155669927597,6.597643589053617e-05,0.9334734529256821,5.357829450351022e-05,0.19784699007868767,0.000707214758398822,0.19717924669384956,0.0010707988743895302,"{'loss': [0.3012283146381378, 0.21127475798130035, 0.20683275163173676, 0.204072043299675, 0.20177511870861053, 0.20132163166999817, 0.19933950901031494, 0.19928044080734253, 0.19852246344089508, 0.19834497570991516, 0.19823773205280304, 0.1973443329334259, 0.19715677201747894, 0.1973549723625183, 0.19676810503005981, 0.19619914889335632, 0.1969265192747116, 0.19603270292282104, 0.19647321105003357, 0.19599221646785736, 0.19645972549915314, 0.19562475383281708, 0.1958957463502884, 0.19570696353912354, 0.1958768218755722, 0.1960289627313614, 0.19583578407764435, 0.1957811862230301, 0.195368230342865, 0.19539952278137207], 'accuracy': [0.9181520938873291, 0.9325449466705322, 0.9327178597450256, 0.9329439997673035, 0.9328775405883789, 0.9328775405883789, 0.9330504536628723, 0.9333962798118591, 0.9328775405883789, 0.9330238103866577, 0.9331701397895813, 0.9331701397895813, 0.9329439997673035, 0.9330504536628723, 0.9329307079315186, 0.9331568479537964, 0.9330770373344421, 0.9331701397895813, 0.9331568479537964, 0.9330371618270874, 0.9328908324241638, 0.9331435561180115, 0.9334627985954285, 0.9332499504089355, 0.9332499504089355, 0.9331568479537964, 0.9333431124687195, 0.9329174160957336, 0.9329307079315186, 0.9333829879760742], 'val_loss': [0.20682360231876373, 0.20318160951137543, 0.2034597545862198, 0.2017379254102707, 0.21205966174602509, 0.20053906738758087, 0.19987180829048157, 0.20078349113464355, 0.20019835233688354, 0.19954033195972443, 0.19906733930110931, 0.20146256685256958, 0.19884659349918365, 0.19878694415092468, 0.19917412102222443, 0.1993895024061203, 0.19825690984725952, 0.19978146255016327, 0.19828838109970093, 0.19908525049686432, 0.2005573958158493, 0.19856242835521698, 0.19825199246406555, 0.19924646615982056, 0.20092454552650452, 0.19861777126789093, 0.19950726628303528, 0.1987038105726242, 0.19975155591964722, 0.19916966557502747], 'val_accuracy': [0.9327445030212402, 0.9327445030212402, 0.9327445030212402, 0.9328508973121643, 0.9328508973121643, 0.9330105185508728, 0.9331701397895813, 0.9333297610282898, 0.9329573512077332, 0.9330105185508728, 0.9331169724464417, 0.9331169724464417, 0.9330637454986572, 0.9332233667373657, 0.9328508973121643, 0.9336490631103516, 0.9330637454986572, 0.9331701397895813, 0.9332233667373657, 0.9331701397895813, 0.9331701397895813, 0.9332233667373657, 0.9335426092147827, 0.9328508973121643, 0.9332765936851501, 0.9329041242599487, 0.9329041242599487, 0.9332233667373657, 0.9328508973121643, 0.9330637454986572]}"
77,2,100,0.2,64,relu,0.001,0.9337022503217062,3.886058486331307e-05,0.9334610303243002,7.293962497780021e-05,0.19525892039140066,0.0002795883727262512,0.1947558969259262,0.0003044214751883811,"{'loss': [0.2723330855369568, 0.2109321802854538, 0.20682074129581451, 0.20402398705482483, 0.20345096290111542, 0.20207133889198303, 0.2015034556388855, 0.20029084384441376, 0.19994935393333435, 0.19938768446445465, 0.1989983767271042, 0.19898824393749237, 0.19788140058517456, 0.1981583833694458, 0.19765691459178925, 0.19747191667556763, 0.1973993182182312, 0.1975540816783905, 0.19731785356998444, 0.1970243602991104, 0.19652634859085083, 0.1971864551305771, 0.19702328741550446, 0.19710394740104675, 0.19637158513069153, 0.19651779532432556, 0.1965380311012268, 0.1965276449918747, 0.19650226831436157, 0.1967555284500122], 'accuracy': [0.9219165444374084, 0.9322257041931152, 0.9325050711631775, 0.9325449466705322, 0.932784378528595, 0.9330637454986572, 0.932664692401886, 0.9326514005661011, 0.9331435561180115, 0.9326912760734558, 0.9328110218048096, 0.9328110218048096, 0.9328110218048096, 0.9326380491256714, 0.9329307079315186, 0.9329972267150879, 0.9330504536628723, 0.9331302642822266, 0.9328641891479492, 0.9329307079315186, 0.9332499504089355, 0.9331568479537964, 0.9332100749015808, 0.9331967830657959, 0.9331568479537964, 0.9328641891479492, 0.9330371618270874, 0.9335692524909973, 0.933090329170227, 0.9329972267150879], 'val_loss': [0.20408383011817932, 0.19952279329299927, 0.19955623149871826, 0.19987590610980988, 0.19774115085601807, 0.20618833601474762, 0.19696561992168427, 0.1979367733001709, 0.19654713571071625, 0.19655553996562958, 0.19581745564937592, 0.19542603194713593, 0.19525253772735596, 0.19585001468658447, 0.19715847074985504, 0.1961556375026703, 0.19509008526802063, 0.19521497189998627, 0.19509713351726532, 0.19509735703468323, 0.19445167481899261, 0.19548973441123962, 0.1948666274547577, 0.19513410329818726, 0.19510355591773987, 0.19531582295894623, 0.19404488801956177, 0.19574865698814392, 0.1954101324081421, 0.1946231871843338], 'val_accuracy': [0.9327445030212402, 0.9327445030212402, 0.9327445030212402, 0.9331169724464417, 0.9330637454986572, 0.9334362149238586, 0.9331169724464417, 0.9331701397895813, 0.9331701397895813, 0.9333297610282898, 0.9331701397895813, 0.9335958361625671, 0.9331169724464417, 0.9329573512077332, 0.9333829879760742, 0.9329041242599487, 0.9334893822669983, 0.9333297610282898, 0.9334362149238586, 0.9333297610282898, 0.9330105185508728, 0.9333829879760742, 0.9328508973121643, 0.9331169724464417, 0.9332765936851501, 0.9334362149238586, 0.9332233667373657, 0.9330105185508728, 0.9331701397895813, 0.9334362149238586]}"
